2017-12-23 01:37:43.6921 | INFO | Users.Controllers.UsersController | ERROR request PUT with ID = 3 FIO = Demo FIO Adress = Demo Adress Phone = Demo phone IdFines = 1. Not Found ID.
2017-12-23 01:37:43.6921 | INFO | Users.Controllers.UsersController | Request GET with ID = 6
2017-12-23 01:37:43.6921 | ERROR | Users.Controllers.UsersController | ERROR request GET with ID = 6. Not found ID
2017-12-23 01:37:43.6921 | INFO | Users.Controllers.UsersController | Request GET with ID = 2
2017-12-23 01:37:43.6921 | ERROR | Users.Controllers.UsersController | ERROR request GET with ID = 2. Not found ID
2017-12-23 01:37:43.6921 | INFO | Users.Controllers.UsersController | Request GET
2017-12-23 01:37:43.6921 | INFO | Users.Controllers.UsersController | Request DELETE with ID = 3
2017-12-23 01:37:43.6921 | ERROR | Users.Controllers.UsersController | ERROR request DELETE with ID = 3. Not found ID
2017-12-23 01:37:43.6921 | INFO | Users.Controllers.UsersController | Request DELETE with ID = 555
2017-12-23 01:37:43.6921 | ERROR | Users.Controllers.UsersController | ERROR request DELETE with ID = 555. Not found ID
2017-12-23 01:37:43.6921 | INFO | Users.Controllers.UsersController | Request POST with ID = {0} FIO = {1} Adress = {2} Phone = {3} IdFines = {4}
2017-12-23 01:38:32.0646 | INFO | Users.Controllers.UsersController | Request PUT with ID = 3 FIO = Demo FIO Adress = Demo Adress Phone = Demo phone IdFines = 1
2017-12-23 01:38:32.0646 | INFO | Users.Controllers.UsersController | ERROR request PUT with ID = 3 FIO = Demo FIO Adress = Demo Adress Phone = Demo phone IdFines = 1. Not Found ID.
2017-12-23 01:38:32.0837 | INFO | Users.Controllers.UsersController | Request DELETE with ID = 3
2017-12-23 01:38:32.0837 | ERROR | Users.Controllers.UsersController | ERROR request DELETE with ID = 3. Not found ID
2017-12-23 01:38:32.0837 | INFO | Users.Controllers.UsersController | Request PUT with ID = 1 FIO = Demo FIO Adress = Demo Adress Phone = Demo phone IdFines = 1
2017-12-23 01:38:32.0837 | INFO | Users.Controllers.UsersController | Success request PUT with ID = 1 FIO = Demo FIO Adress = Demo Adress Phone = Demo phone IdFines = 1.
2017-12-23 01:38:32.0837 | INFO | Users.Controllers.UsersController | Request POST with ID = {0} FIO = {1} Adress = {2} Phone = {3} IdFines = {4}
2017-12-23 01:38:32.1032 | INFO | Users.Controllers.UsersController | Request PUT with ID = 6 FIO = Demo FIO Adress = Demo Adress Phone = Demo phone IdFines = 1
2017-12-23 01:38:32.1032 | INFO | Users.Controllers.UsersController | Success request PUT with ID = 6 FIO = Demo FIO Adress = Demo Adress Phone = Demo phone IdFines = 1.
2017-12-23 01:38:32.1032 | INFO | Users.Controllers.UsersController | Request GET with ID = 6
2017-12-23 01:38:32.1032 | ERROR | Users.Controllers.UsersController | ERROR request GET with ID = 6. Not found ID
2017-12-23 01:38:55.0994 | INFO | Users.Controllers.UsersController | Request DELETE with ID = 3
